ENUMERACION	GRUPOS
1.1.1	Los medios de evacuación (pasadizos, escaleras, accesos y salidas) del establecimiento presentan un ancho mínimo de 1.20 m y/o que permitan la evacuación de las personas de manera segura. RNE A.010.
1.1.2	Los medios de evacuación (pasadizos, escaleras, accesos y salidas) se encuentran libres de obstáculos. RNE A.130 Art 13; A.010 Art  25
1.1.3	El establecimiento cuenta con señalización de seguridad (direccionales de salida, salida, zona segura en caso de sismo, riesgo eléctrico, extintores, otros). RNE A.130, Art. 39; NTP 399.010 -1
1.1.4	Cuenta con luces de emergencia operativas. RNE- A-130 Art. 40
1.1.5	Las puertas que se utilizan como medios de evacuación abren en el sentido del flujo de los evacuantes o permanecen abiertas en horario de atención, sin obstruir la libre circulación y evacuación. RNE A130 Art. 5 y 6
1.1.6	En caso de contar con un ambiente con aforo mayor a 100 personas, en cualquier caso, la puerta de salida cuenta con barra antipánico. RNE A130 Art. 8
1.1.7	No cuenta con material combustible o inflamable debajo de las escaleras que sirvan como medios de evacuación (cartones, muebles, plásticos otros similares). RNE A.010 Art. 26, b16
1.1.8	Las escaleras cumplen con las caraceristicas en numero y tipo (incluye excepciones de la norma señaladas en el RNE A010 art 28) pasos, dimensiones, contrapasos, descansos y barandas correspondientes al tipo de la edificación y su altura. RNE A.010 hasta la  A.110; A.140
1.1.9	Las escaleras que comunican todos los niveles de la edificacion, son continuas desde el primer piso hasta el ultimo en sentido vertical u horizontal estan intercomunicadas entre si, por pasadizos de circulacion libre. Barreras de contencion y direccionamiento en piso de evacuacion en escaleras con continuidad a niveles inferiores de la salida de evacuacion. Las escaleras a los sotanos podran ser independientes; RNE A.010: 26 b.4
1.2.1	El gabinete es de material metálico o de resina termoplástica y/o se encuentran en buen estado de conservación. CNE-U 020.024, 020.026 b
1.2.2	Cuenta con interruptores termomagnéticos y corresponden a la capacidad de corriente de los conductores eléctricos que protege. No utiliza llaves tipo cuchilla. CNE-U 080.010, 080.100, 080.400
1.2.3	Cuenta con un circuito eléctrico por cada interruptor termomagnético. El tablero tiene un interruptor general en su interior o adyacente al mismo. CNE-U 080.010, 080.100, 080.400
1.2.4	No utiliza conductores flexibles (tipo mellizo) en instalaciones permanentes de alumbrado y/o tomacorriente. CNE-U 030.010.3
1.2.5	Los circuitos de tomacorrientes no están sobrecargados con extensiones o adaptadores. CNE-U 080.100 a
1.2.6	"En locales de pública concurrencia construidos con posterioridad a abril del 2008 tales    como: cines, teatros, auditorios, estadios, ferias, parques de atracciones,  salas de fiesta, discotecas, salas de juego de azar y similares, templos, museos, salas de conferencias, establecimientos comerciales, centros comerciales, mercados, hoteles   y similares, hospitales, clínicas, bibliotecas, colegios, universidades y otros, las instalaciones eléctricas de cables y conductores eléctricos deben ser  del tipo no propagador del incendio, con baja emisión de humos, libre de halógenos y ácidos corrosivos.
CNE-U 010.010.4, 020.126 (RM No. 175-2008-MEM/DM)"
1.2.7	La alimentación eléctrica a la bomba de agua contra incendios es independiente, no controlada por el interruptor general del edificio e interconectada al grupo electrógeno de emergencia del edificio, en caso de tenerlo. RNE IS 010.4.2. j
1.3.1	Cuenta con extintores operativos y en cantidad adecuada de acuerdo al riesgo existente en el establecimiento. NTP 350.043:2011
1.3.2	Los extintores cuentan con tarjeta de control y mantenimiento actualizada, se encuentran operativos, a una altura no mayor de 1.50m, numerados, ubicados en los lugares accesibles. Los extintores tienen constancia de operatividad y mantenimiento. RNE A 130 ART 163, 165; NTP 350.043-1s
1.3.3	Los extintores ubicados a la intemperie están colocados dentro de gabinetes o cobertores. RNE A 130 ART 163, 165; NTP 350.043-1
1.3.4	Cuenta con plan de seguridad para hacer frente a los riesgos de incendio y otros vinculados a la actividad, para establecimientos de dos a más pisos. DS N° 002-2018 PCM
1.3.5	Las mangueras del tipo flexible de los cilindros (balones) de Gas Licuado de Petróleo (GLP) tipo 10 (de capacidad hasta 25kg) se encuentran en buen estado de conservación (sin rajaduras, libres de grasa, limpias, con sujeción firme con abrazaderas. DS N° 027-94 EM.
1.3.6	Las instalaciones de GLP que utilizan cilindros tipo 45 (de capacidad mayor a 25Kg), tienen tuberías de cobre o fierro galvanizado. DS N° 027-94 EM.
1.3.7	Los cilindros de GLP están alejados de interruptores a una distancia mayor a 0.30m, y mayor a 0.50m de tomacorrientes, se ubican en lugares ventilados y alejados de cualquier fuente de calor. DS N° 027-94 EM.
1.3.8	Los cilindros de GLP no se encuentran ubicados en nivel de semisótano, sótanos, cajas de escalera, pasillos, pasadizos de uso común y vía pública. DS N° 027-94 EM.
1.3.9	En escaleras presurizadas, la alimentación de energía para los motores del ventilador  debe contar con dos fuentes independientes, de transferencia automática. RNE A 130 Art. 34
1.3.10	El sistema de presurización se encuentra en buen estado de conservación y operativo. CNE-U 010.010-3
1.3.11	Cuenta con un sistema de proteccion contraincendios a base de agua en función al tipo de edificación, área, altura, y clasificacion del riesgo. RNE A-130 Art.100 y 102 (DISEÑO) NFPA 14.  VIVIENDA -art  66, 67, 69, y 70  art 71 y  75  art 81 art 89  art  99 art.100, 102, 117, y  152)   art 172, 179, y 181, 185 ,  186, 187, 188, y  189.art 197 , 201 ,  205 , 208 , 213 y 214  - RNE A.100 art 25 y 26. INDUSTRIAS - DS 42F, CAPITULO II, Seccion 2da Art 145  
1.3.12	"Para todas las edificaciones se debe cumplir con las distancias máximas de recorrido hasta una zona segura exterior o hasta una escalera del tipo de evacuación. Los rociadores son de uso obligatorio en las edificaciones donde sea requerido de acuerdo a la norma en particular de cada tipo de edificación. 
NFPA 13. RNC S-224-1,2, RNE A.130 Art 102.A; Art 162 A.130 Art 161.COMERCIO RNE A.130 Art 89, y 96 OFICINAS - RNE A.130 Art 99; ALMACENES - RNE A.130 ART 171, ART 181 (ALT MENOR A 3.7), 185 (ALT ENTRE 3.70 Y 7.6),  186 (ALT MAYOR A 7.6), Art 188, 189, y  192; INDUSTRIAS USAR DS 42F art 114, 157, 158,           "
1.3.13	Las puertas de la escalera de evacuación cumplen con las caracteristicas de resistencia al fuego y cuentan con accesorios (cierrapuertas, barra antipanico) segun corresponda, en base al riesgo, tipo, uso y altura de la edificacion. RNE A.010 Art. 26 b), A.130:art.,7-8, 10-11, A 010 Art. 26.b,A.060  art. 13.)
1.4.1	Cuenta con un sistema de detección y alarma de incendios centralizado operativo. Se encuentran exceptuados. RNE A.130 Art 89.
